Date,AMZN,DUK,KO
2/10/2009,63.310001,30.557598,15.792576
2/11/2009,64.349998,30.476,16.025563
2/12/2009,63.959999,30.353606,17.237091
2/13/2009,63.259998,30.068023,17.027403
2/17/2009,61.669998,28.78289,16.542015
2/18/2009,62.349998,29.394857,16.57308
2/19/2009,61.950001,29.578447,16.813832
2/20/2009,63.860001,28.884884,16.63521
2/23/2009,61.709999,28.37491,16.343977
2/24/2009,65.599998,29.190868,16.720639
2/25/2009,63.709999,28.905282,16.452704
2/26/2009,62.34,28.109725,15.947901
2/27/2009,64.790001,27.477358,15.862472
3/2/2009,61.990002,26.355416,15.412032
3/3/2009,61.700001,24.927491,15.078087
3/4/2009,64.809998,25.335469,15.427565
3/5/2009,64.769997,24.56031,14.697541
3/6/2009,61.689999,24.7847,15.182929
3/9/2009,60.490002,24.091136,15.047021
3/10/2009,65.709999,25.274272,15.206228
3/11/2009,68.540001,25.600657,15.528012
3/12/2009,69.580002,25.804646,16.026384
3/13/2009,68.629997,26.233024,16.175503
3/16/2009,66.980003,26.844991,16.195124
3/17/2009,71.349998,27.579353,16.26576
3/18/2009,71.25,28.538103,16.344244
3/19/2009,70.099998,28.905282,16.552225
3/20/2009,69.959999,29.007277,16.732737
3/23/2009,75.580002,29.966027,17.321366
3/24/2009,72.809998,28.966479,17.274276
3/25/2009,72.400002,29.048076,17.560741
3/26/2009,73.690002,29.496852,17.599983
3/27/2009,70.519997,29.150069,17.698087
3/30/2009,71.440002,28.78289,17.235033
3/31/2009,73.440002,29.211266,17.246807
4/1/2009,73.5,29.088872,17.603908
4/2/2009,76.339996,28.925682,17.792269
4/3/2009,78.169998,28.94608,17.647074
4/6/2009,77.989998,28.680895,17.654923
4/7/2009,75.510002,28.068926,17.509727
4/8/2009,76.980003,28.538103,17.654923
4/9/2009,79.769997,28.476906,17.654923
4/13/2009,78.940002,28.395308,17.552893
4/14/2009,77.220001,27.987331,17.348835
4/15/2009,74.709999,28.558501,17.670618
4/16/2009,77.25,28.293315,17.698087
4/17/2009,78.050003,28.02813,17.666695
4/20/2009,77.57,27.987331,17.395926
4/21/2009,78.739998,28.21172,16.909326
4/22/2009,79.199997,27.987331,16.846539
4/23/2009,80.610001,28.19132,16.842614
4/24/2009,84.459999,28.048528,16.791601
4/27/2009,83.120003,28.109725,16.575771
4/28/2009,82.400002,28.252517,16.591466
4/29/2009,79.790001,28.538103,16.760207
4/30/2009,80.519997,28.170922,16.893629
5/1/2009,78.959999,28.78289,16.666027
5/4/2009,79.769997,29.027675,16.940719
5/5/2009,81.900002,28.94608,16.928947
5/6/2009,81.989998,28.538103,16.850463
5/7/2009,79.279999,28.94608,16.795524
5/8/2009,77.949997,28.925682,16.842614
5/11/2009,78.610001,29.252065,16.775904
5/12/2009,77.93,29.374459,17.423395
5/13/2009,74.190002,28.640096,17.121233
5/14/2009,75.110001,28.474188,17.619605
5/15/2009,73.599998,27.955721,17.643149
5/18/2009,75.949997,28.100894,18.078734
5/19/2009,77.870003,28.121632,18.302413
5/20/2009,77.970001,27.831289,18.443684
5/21/2009,75.959999,27.893505,18.31811
5/22/2009,75.639999,28.391234,18.561409
5/26/2009,78.389999,29.096349,18.526091
5/27/2009,77.099998,28.515666,18.298489
5/28/2009,77.650002,29.096349,18.404442
5/29/2009,77.989998,29.345214,19.291308
6/1/2009,83.050003,29.801464,19.23637
6/2/2009,84.93,29.241519,19.487518
6/3/2009,85.68,29.200044,19.263839
6/4/2009,85.519997,29.179303,19.526759
6/5/2009,87.559998,29.303735,19.401185
6/8/2009,86.360001,29.220781,19.377641
6/9/2009,87.080002,29.200044,19.263839
6/10/2009,86.589996,29.324473,18.996994
6/11/2009,85.690002,29.946634,19.226541
6/12/2009,84.080002,30.423623,19.349229
6/15/2009,83.18,29.967372,19.040529
6/16/2009,82.150002,29.511121,18.929713
6/17/2009,82.650002,29.635554,18.96929
6/18/2009,81.599998,30.361406,19.610438
6/19/2009,82.959999,29.884418,19.317568
6/22/2009,79.150002,30.382147,18.993036
